"item","scale","domain","top_10_predictor","correlation_with_mh_composite","abs_correlation_with_mh"
"tas_20","TAS","Mental Health",FALSE,0.268676617558615,0.268676617558615
"ias_5","IAS","Interoception",TRUE,-0.264035020652725,0.264035020652725
"ias_19","IAS","Interoception",TRUE,-0.262555455311236,0.262555455311236
"iats_8","IATS","Interoception",FALSE,0.254327955014131,0.254327955014131
"iats_6","IATS","Interoception",FALSE,0.2451179117045,0.2451179117045
"iats_18","IATS","Interoception",TRUE,0.241518701699455,0.241518701699455
"iats_10","IATS","Interoception",FALSE,0.237975236583326,0.237975236583326
"ias_4","IAS","Interoception",FALSE,-0.229197831625295,0.229197831625295
"iats_5","IATS","Interoception",FALSE,0.228615147628457,0.228615147628457
"iats_13","IATS","Interoception",FALSE,0.221874707043987,0.221874707043987
"iats_2","IATS","Interoception",FALSE,0.207180535800927,0.207180535800927
"iats_4","IATS","Interoception",FALSE,0.206810296898667,0.206810296898667
"iats_19","IATS","Interoception",FALSE,0.195601429682478,0.195601429682478
"ias_12","IAS","Interoception",FALSE,-0.192354253135805,0.192354253135805
"iats_12","IATS","Interoception",FALSE,0.189083511966448,0.189083511966448
"ias_11","IAS","Interoception",FALSE,-0.183959048365481,0.183959048365481
"iats_14","IATS","Interoception",FALSE,0.182861552731912,0.182861552731912
"ias_6","IAS","Interoception",FALSE,-0.178156571440518,0.178156571440518
"ias_3","IAS","Interoception",FALSE,-0.166015142660602,0.166015142660602
"ias_8","IAS","Interoception",FALSE,-0.152569675803807,0.152569675803807
"iats_9","IATS","Interoception",FALSE,0.148614540809976,0.148614540809976
"tas_15","TAS","Mental Health",FALSE,0.144794666139491,0.144794666139491
"ias_15","IAS","Interoception",FALSE,-0.141658436896408,0.141658436896408
"ias_14","IAS","Interoception",FALSE,-0.135220405053877,0.135220405053877
"ias_13","IAS","Interoception",FALSE,-0.122274100201895,0.122274100201895
"ias_17","IAS","Interoception",FALSE,-0.118450358418517,0.118450358418517
"tas_16","TAS","Mental Health",FALSE,0.115030624810571,0.115030624810571
"tas_18","TAS","Mental Health",FALSE,0.113632113177628,0.113632113177628
"ias_9","IAS","Interoception",FALSE,-0.107903365706646,0.107903365706646
"ias_1","IAS","Interoception",FALSE,-0.0970400903095189,0.0970400903095189
"ias_7","IAS","Interoception",FALSE,-0.0933600161510544,0.0933600161510544
"ias_10","IAS","Interoception",FALSE,-0.0903539774821294,0.0903539774821294
"tas_19","TAS","Mental Health",FALSE,0.0892652191852415,0.0892652191852415
"tas_8","TAS","Mental Health",FALSE,0.0784682184069217,0.0784682184069217
"tas_10","TAS","Mental Health",FALSE,0.0638577259327633,0.0638577259327633
"ias_21","IAS","Interoception",FALSE,0.0605333853665599,0.0605333853665599
"ias_16","IAS","Interoception",FALSE,-0.0510350000564783,0.0510350000564783
"tas_5","TAS","Mental Health",FALSE,-0.0456594253111455,0.0456594253111455
"iats_7","IATS","Interoception",FALSE,0.0445587682578433,0.0445587682578433
"ias_20","IAS","Interoception",FALSE,-0.0417157788268982,0.0417157788268982
"ias_18","IAS","Interoception",FALSE,-0.0282955502080893,0.0282955502080893
