"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
74,52,2,0.0296603192657646,0.958280596967606,0.0120590837666295,3
78,49,2,0.0825965142461049,0.911476587131069,0.00592689862282584,1
74,48,2,0.0871468387567529,0.909354637740747,0.00349852350250057,3
66,49,2,0.0437663180174574,0.953111653028462,0.00312202895408072,3
77,49,2,0.078430272785688,0.915944560052435,0.0056251671618773,1
91,61,2,0.00429439186920751,0.67354948882696,0.322156119303832,1
83,62,2,0.00216622477844308,0.709077128932944,0.288756646288614,1
78,44,2,0.270944030484158,0.727979842087603,0.00107612742823917,2
86,73,3,1.191685093568e-05,0.0736450127040193,0.926343070445045,1
66,57,2,0.00460639472273206,0.961690592151809,0.0337030131254593,3
68,57,2,0.00513519664265882,0.957255715337962,0.0376090880193786,3
82,65,2,0.000638587289833072,0.516343021099287,0.48301839161088,1
86,53,2,0.0426495758178637,0.926233375142262,0.0311170490398743,1
80,24,1,0.991639809199954,0.00836015379682378,3.70032226641533e-08,2
78,24,1,0.990646288438367,0.0093536746319083,3.69297245675362e-08,2
79,59,2,0.00499162431398787,0.878035525033499,0.116972850652513,1
69,55,2,0.009670569306402,0.968063073522812,0.0222663571707857,3
68,49,2,0.0487422827688736,0.947777303097197,0.00348041413392966,3
83,50,2,0.0822638443301605,0.907179618682916,0.0105565369869231,1
91,29,1,0.981768970478757,0.0182303640468388,6.65474403755043e-07,2
56,64,2,0.000324865302523767,0.863685903234228,0.135989231463248,3
84,22,1,0.996194763663415,0.00380522463260737,1.17039773469356e-08,2
81,52,2,0.0432147358088194,0.939154592548826,0.0176306716423548,1
83,24,1,0.992937160010595,0.00706280288294046,3.71064644555137e-08,2
87,62,2,0.00252826479692993,0.659790198279629,0.337681536923441,1
74,54,2,0.0169077722526292,0.96121574260566,0.0218764851417105,1
84,34,1,0.898154990961733,0.101834047878633,1.09611596347056e-05,2
83,49,2,0.106549909927152,0.885785494808046,0.00766459526480236,1
82,46,2,0.209122858631591,0.788228674312349,0.00264846705606045,2
71,56,2,0.00808559919048759,0.958670359301124,0.0332440415083887,3
84,34,1,0.898154990961733,0.101834047878633,1.09611596347056e-05,2
74,60,2,0.00283740951145335,0.878839044745491,0.118323545743056,1
93,86,3,6.91046567042953e-09,0.00113107650293877,0.998868916586595,1
59,53,2,0.00980755956202023,0.983131465060331,0.00706097537764871,3
84,37,1,0.790690728099752,0.209254489524725,5.47823755228311e-05,2
75,52,2,0.0313126661273155,0.955950173710764,0.012737160161921,1
64,59,2,0.00229520755887408,0.944315512063565,0.0533892803775609,3
60,51,2,0.0181629261614651,0.977726040809732,0.0041110330288033,3
97,44,1,0.520880815747378,0.477030898885585,0.00208828536703727,2
80,49,2,0.0915323431185993,0.901893069477101,0.00657458740429994,1
74,56,2,0.00950998609017303,0.951331725155925,0.0391582887539017,1
71,45,2,0.15858793832237,0.840292283252106,0.00111977842552441,3
61,57,2,0.00350351149643224,0.970925897478715,0.0255705910248525,3
86,26,1,0.989550135900888,0.0104497462407233,1.17858388124285e-07,2
75,23,1,0.991634105994874,0.00836587331370328,2.06914229397672e-08,2
79,24,1,0.991156866376675,0.00884309665635006,3.69669753430164e-08,2
71,62,2,0.00128290698032027,0.828714802278106,0.170002290741574,1
93,29,1,0.983689823453823,0.0163095091121001,6.67434077133191e-07,2
100,47,2,0.353813237556396,0.638121903500446,0.00806485894315816,2
36,26,1,0.847909843468055,0.15209005800188,9.85300649098288e-08,3
85,35,1,0.875549630989257,0.124431297882366,1.90711283778882e-05,2
78,21,1,0.99597111684277,0.00402887661726811,6.53996157380572e-09,2
47,49,2,0.015393843019694,0.983518287985397,0.00108786899490866,3
62,26,1,0.960499179041912,0.0395007079051211,1.13052966632429e-07,3
76,45,2,0.200051082061332,0.798532885482787,0.00141603245588039,3
84,51,2,0.0664377259284635,0.918345673645438,0.0152166004260984,1
79,73,3,1.15400755193307e-05,0.106023499392664,0.893964960531816,1
85,50,2,0.0911167473021659,0.897179131113676,0.0117041215841578,1
62,59,2,0.00206175601831471,0.9500265828445,0.047911661137185,3
84,21,1,0.997128694215158,0.0028712992178864,6.56695588603915e-09,2
72,45,2,0.166282969308074,0.832542339301535,0.0011746913903909,3
73,38,1,0.604320184536768,0.395605526746724,7.4288716508407e-05,3
77,37,1,0.717612256414218,0.282338195650953,4.95479348288294e-05,2
62,37,1,0.520747557684384,0.479216751878163,3.56904374527492e-05,3
80,58,2,0.00717128175244416,0.898579510729306,0.0942492075182503,1
86,57,2,0.0132220730371645,0.889079274777824,0.0976986521850115,1
64,63,2,0.000662047808864549,0.843373082547821,0.155964869643314,3
81,35,1,0.848692977183374,0.151288573089785,1.84497268408572e-05,2
78,59,2,0.00474887797233287,0.884021587344344,0.111229534683323,1
