"ias","iats","lpa_profile","CPROB1","CPROB2","CPROB3","kmeans_cluster"
82,42,2,0.450734572137497,0.548701779037041,0.000563648825461756,2
88,42,1,0.535381221398492,0.463947295168206,0.000671483433302688,2
88,29,1,0.978464766774696,0.0215345709706343,6.62254670419226e-07,2
78,29,1,0.962667131577362,0.0373322200640597,6.48358578247152e-07,2
91,54,2,0.0416543771233596,0.903996689386285,0.0543489334903552,1
75,53,2,0.0236839081344393,0.959129796812533,0.0171862950530275,1
74,32,1,0.898035530342856,0.10196104272624,3.42693090471129e-06,2
102,36,1,0.932831019420655,0.0671324283258007,3.65522535439494e-05,2
93,30,1,0.978478782785169,0.0215200328706136,1.18434421790976e-06,2
79,55,2,0.016631962405548,0.944883936692606,0.0384841009018454,1
90,76,3,2.20420855294878e-06,0.0253486176030151,0.974649178188432,1
83,37,1,0.781163754120958,0.218782150243647,5.40956353948343e-05,2
68,47,2,0.082829726919991,0.915311789954573,0.00185848312543654,3
65,53,2,0.0136836804198229,0.976435542579219,0.00988077700095752,3
84,32,1,0.939461855597741,0.0605345416723882,3.60272987062998e-06,2
85,36,1,0.841354979936187,0.158612327331158,3.26927326549864e-05,2
71,60,2,0.00244053429872437,0.895936502418871,0.101622963282404,1
72,27,1,0.969969599206497,0.0300301961206984,2.04672805051519e-07,2
95,24,1,0.996408488182868,0.00359147436003672,3.74570952404949e-08,2
84,49,2,0.112013825202744,0.87992456376224,0.00806161103501579,1
76,38,1,0.6441462570494,0.355774441257672,7.9301692927149e-05,2
68,69,3,7.60926517185415e-05,0.421036050320636,0.578887857027645,1
81,46,2,0.199937962989513,0.797531141244257,0.00253089576622989,2
84,27,1,0.984553668660403,0.0154461223569246,2.08982672277656e-07,2
79,24,1,0.991156866376675,0.00884309665635006,3.69669753430164e-08,2
92,41,1,0.65723433408902,0.342302675105695,0.000462990805284396,2
84,52,2,0.0506472784297769,0.928659156160103,0.0206935654101202,1
80,30,1,0.956084213033885,0.0439146371199481,1.14984616655106e-06,2
78,50,2,0.0634261181903797,0.92845473779324,0.00811914401638043,1
78,51,2,0.0484350134420195,0.940504407351571,0.0110605792064094,1
70,48,2,0.0707788283979278,0.926385341296829,0.00283583030524279,3
78,30,1,0.951073869161443,0.048924988145207,1.14269335003783e-06,2
101,39,1,0.848902250032086,0.150909001345664,0.000188748622249876,2
73,44,2,0.218793958636416,0.780339181131857,0.000866860231727691,3
82,43,2,0.382109407762443,0.617038175832333,0.000852416405223572,2
84,40,1,0.618002110172731,0.381754807619715,0.000243082207554187,2
83,36,1,0.825645070775229,0.174322878548194,3.20506765770934e-05,2
77,39,1,0.590833355050383,0.409036821429292,0.000129823520324329,2
82,29,1,0.970009313963788,0.0299900314432824,6.54592929301361e-07,2
83,63,2,0.00148587287447912,0.645179291160106,0.353334835965414,1
79,29,1,0.964650443972334,0.0353489060129963,6.50014669514468e-07,2
76,51,2,0.0435248063625859,0.946545698919848,0.00992949471756615,1
82,56,2,0.0145525372278323,0.925289223292757,0.0601582394794109,1
62,41,2,0.259739861864939,0.74007984941026,0.000180288724800671,3
76,64,2,0.000781228160057358,0.668955315862334,0.330263455977609,1
87,41,1,0.590997909769766,0.408586784706075,0.000415305524159253,2
96,53,2,0.0711325379183506,0.876712850816167,0.0521546112654819,1
71,50,2,0.0436875021546605,0.950739346684707,0.0055731511606329,3
82,55,2,0.01951228001768,0.935272142074661,0.0452155779076592,1
72,39,1,0.521050852912109,0.478834938666901,0.000114208420990398,3
72,54,2,0.0151600067834115,0.965244219843464,0.0195957733731242,3
78,45,2,0.218762153418688,0.779687843231656,0.00155000334965661,2
83,37,1,0.781163754120958,0.218782150243647,5.40956353948343e-05,2
81,26,1,0.986175979685856,0.0138239031467547,1.17167389628266e-07,2
82,32,1,0.932688811668349,0.0673076151000021,3.57323164854435e-06,2
91,31,1,0.968357693697601,0.0316402174366558,2.08886574309217e-06,2
89,38,1,0.790770657467719,0.209131363881721,9.79786505600528e-05,2
77,60,2,0.00328851314751499,0.859373412451664,0.137338074400821,1
87,44,2,0.382015209037886,0.616460768331583,0.00152402263053074,2
98,76,3,2.21614461669113e-06,0.0161989319438615,0.983798851911522,1
74,40,2,0.478732728133232,0.521079895155632,0.000187376711135615,3
65,44,2,0.151166565360878,0.84823687080296,0.000596563836162289,3
72,63,2,0.000954930075547082,0.773194296512399,0.225850773412054,1
57,60,2,0.00117134828032402,0.950389561835184,0.0484390898844915,3
67,51,2,0.0267119773857074,0.967221082734327,0.00606693987996547,3
80,33,1,0.903164603448463,0.0968292300406536,6.16651088366244e-06,2
78,34,1,0.862597925214024,0.137391578656193,1.04961297829571e-05,2
80,54,2,0.0233825731641721,0.946273771906929,0.0303436549288989,1
71,62,2,0.00128290698032027,0.828714802278106,0.170002290741574,1
76,53,2,0.0250044829022914,0.956841997210187,0.0181535198875219,1
96,39,1,0.808932765632117,0.190887815475189,0.000179418892693978,2
71,46,2,0.124359557583894,0.874073989144787,0.0015664532713192,3
65,23,1,0.985352327438254,0.0146476521024954,2.04592509229223e-08,3
77,26,1,0.982721098542888,0.0172787849301758,1.16526935759669e-07,2
82,55,2,0.01951228001768,0.935272142074661,0.0452155779076592,1
91,21,1,0.998066800469872,0.00193319293427437,6.59585346555420e-09,2
